muster,5
sustain[vn],184
re-radiate,1
rerun,1
bide,5
lodge[vn],881
temper,4
mislabele,1
roll[vn],462
decrypt,11
re-take,1
tosh,2
reenter,9
say[vn],14124
appoint[vn],335
absorb[vn],219
encrypt,10
stake,7
tardi,1
complicit,1
mire,1
formalize,2
outmanoeuvre,1
double-cross,7
unscramble,2
handicap,1
flay,1
re-bond,1
fell,3
taste-test,3
stoke,4
aprise,1
order[vn],1468
substitute[vn],361
interval,1
withhold,8
reroute,34
crystallise,3
revoke,20
supplement,1
chair,1
retrofit,2
side-track,1
vet,1
zone,3
inoculate,14
ionise,2
press-gang,1
counter-attack,1
swoop,11
interrogate[vn],587
court-martialle,1
chew[vn],383
dependant,1
gravitate,3
embark,26
waylay,6
sterilise,3
gun,16
encroach,3
disqualify,2
re-join,3
pore,5
colin,1
rough,2
involve[vn],448
mind-meld/bridges,1
atomise,1
favour,1
misrepresent,2
reclose,2
badge,1
dwarf,2
abscond,2
honour,8
disclaim,1
decipher,17
magnetise,4
re-examine,3
rework,1
rethink,7
captain[vn],508
disavow,1
queue,1
reincarnate,3
boo,4
weird,1
rehearse[vn],56
rediscover,2
rededicate,1
wreak,12
outfly,1
verge,1
gesticulate,1
market,2
desalinize,1
anthropomorphize,1
sub-contract,1
flatline,5
robotise,1
unsheathe,2
prey,7
slough,2
encode,18
reembody,1
put_direction[vn],186
prep,11
reorder,2
conspire[vn],202
frog-march,1
afford,46
apper,1
engender[vn],1562
op,1
spank[vn],106
pretend,162
privy,1
gunfire,1
rock-climb,2
trump,4
attribute,29
disbelieve,13
abort,36
re-establish,13
unguard,1
craze,3
re-implant,1
bankrupt,1
spit-shine,1
exhale[vn],26
under-estimate,2
entrench,1
map,10
levy,2
mar,5
clone,11
brazen,1
countermand,6
rehabilitate,1
overarm,1
psychoanalyze,1
man,35
kurn,3
thrwart,1
complete[vn],442
re-read,2
kawoosh,1
re-engage,4
unfreeze,7
re-assign,2
co-habit,1
get[vn],16603
uncork,2
zhaan,1
shield,33
fight/kill,1
course,2
moralise,1
bulldoze,1
splurge,1
overhaul,2
sugarcoat,1
re-analyse,1
petition,6
finance,1
paticipate,1
possese,2
bein,1
retrain,1
bath,4
fictionalise,3
expedite,3
rescind,5
wont,2
obtain[vn],5366
neglect[vn],1047
synchronize,6
degauss,1
hypothesise,3
realise,793
necrotize,1
snurch,2
disappearance[vn],1685
backpedal,1
matter[vn],71
torch,1
ec,1
weaponize,4
relive,23
space,3
abide,7
instate,1
reassocciate,1
meet[vn],3926
maneuver,24
goth,1
attend[vn],642
underwhelm,2
siege,1
quark,11
disrespect,3
mime,4
plea,2
medlab,1
latinum,1
recon,1
transition,1
motion,1
1/1000th,1
brutalize,3
mindwipe,1
ture,1
appear[vn],4073
blind,36
one,1
fast,3
wimper,1
zat,2
zap,16
size,4
re-capture,1
jenek,1
breed,25
satisife,2
crosscheck,1
circa,1
overstate[vn],10
depth-charge,1
break_down[vn],31
thruster,1
indoctrinate,1
repatriate,2
sight[vn],1524
evil/good,1
interdict,2
counter-threaten,1
infiltrate,119
wormhole,1
lure[vn],352
speed-crawl,1
sophie,1
tractor,4
chloe,1
overexert,3
reaches004,1
belie,1
slag,1
blunder,1
sideswipe,1
reppear,1
wretch,1
co-exist,5
classify[vn],166
surf,1
use[vn],3990
bett,1
buffer,1
rerout,1
barrage,1
mok,1
carry[vn],885
re-configure,1
montage,1
later,1
body_internal_motion[vn],52
troi,5
reinvigorate,1
merit,1
trespass,1
allow[vn],1341
corner,68
bloodlet,1
fend,46
title,3
promote[vn],306
kesh,2
manoeuvre,2
presse,1
mistranslate,1
partake,12
deign,1
reset,42
digitize,2
cannon,1
hedge,1
reengineer,1
self-congratulate,1
prime,12
beseech,3
overmatch,1
uncover,80
neutralise,15
entomb,6
brim,1
addict[vn],55
leave[vn],8008
settle[vn],5471
sport,1
dervish,1
lecture[vn],1425
rephrase,4
eat[vn],581
outmann,2
forsake,3
orchestrate,10
slingshot,2
re-educate,2
comm,51
undermine,14
funnel[vn],154
ad-libb,1
butter[vn],308
bizarro,1
uncouple,3
twin,2
cancel,86
undock,8
inpsect,1
dine[vn],27
breath,1
overjoy,30
re-direct,1
enable,52
snooze[vn],45
mistreat,4
recolor,1
malnourish,2
minister,1
care[vn],314
reinitialize,8
spirit,1
transfer_mesg[vn],17721
amend,6
re-modulate,1
wipe_instr[vn],30
signalling/helping,1
battle[vn],1439
distinguish[vn],11
convine,3
suss,1
out-gun,1
stubb,1
helmet,3
destroy[vn],2885
reshape,4
demur,3
discommendate,1
half-hope,1
reject[vn],1954
vandalise,3
defy,37
remedy[vn],1398
validate,1
pocket[vn],883
deduce[vn],784
over-hang,1
base[vn],61
coordinate,73
send[vn],4171
re-program,1
clot,1
colonise,8
parlay,2
leth,1
except,2
allude,19
verse,3
overthrow,29
respond[vn],1471
disrupt,87
re-attack,1
re-attach,1
grit,4
characterize[vn],4036
detoxify,1
unveil,19
symbolise,1
traffic,1
berry[vn],97
detract,2
stunt,2
implicate,14
pon,1
robson,1
consume[vn],90
satisfy[vn],62
output,1
inter,1
descramble,1
fulfil,44
mulder,2
debilitate,5
dole,1
entity_specific_cos[vn],156
vivisect,2
reconsider,53
divine,6
endeavor,3
spasm,3
gross,2
authenticate,2
overstay,1
hyper-accelerate,1
prosecute[vn],575
cut[vn],659
shap,1
sykar,1
saftey,1
power,64
natima,1
unmask,7
poise,9
remove[vn],6269
sound_emission[vn],1834
subjugate[vn],772
fantasize,5
reexamine,3
pressurize,5
infatuate,6
ok,1
readmit,1
convinve,1
talyn,1
immobolize,1
breathe[vn],116
ot,1
sweettalk,1
amber,1
exclude[vn],12
hypnotise,42
garner,7
renovate,1
forewarn,1
apologize,426
abrogate,1
cope[vn],445
ehr,1
starl,1
re-sedate,1
stark,1
decode,20
tuvok,13
woudl,1
notate,1
gore,1
gatecrash,1
debone[vn],12
give[vn],4447
stimulus_subject[vn],454
mislay,1
hot-wire,1
excruciate,1
waltz[vn],23
preside,13
rewire,7
deadlock,4
undeserve,2
inflict,26
braid[vn],612
migrate,5
censor,5
reprograme,1
immobilise,15
lethe,1
idiot,2
deserve,84
repent,3
graduate,7
field,1
trample,2
trash,7
spend_time[vn],788
ensure[vn],796
vaccinate,1
re-assimilate,1
overreact,12
subsume,1
scarper,2
peak,2
immunise,1
resell,1
dabble,3
enforce[vn],374
spray[vn],663
mimic,25
requisition,2
break[vn],1198
emck,1
forget,300
lack,87
rebind,1
unblock,6
generalize,2
renege,6
overdose,3
take-up,1
herd[vn],177
refocus,1
program,106
tj,1
solicit,10
register[vn],231
defuse,21
discover[vn],9878
parry,3
fan,3
offline,6
strand,72
induct,3
disentegrate,1
list,42
triangulate,5
ftl,1
renown,1
re-secure,1
retun,1
vanquish,4
reemerge,5
re-acquaint,1
tel,2
tongue-lash,1
zero,1
enjoin,1
recalculate,2
redial,4
re-colonize,1
paralyse,17
scupper,1
sue,4
miniaturise,1
double-lock,1
forestall,2
masquerade[vn],138
blindside,3
overrule,45
falsify,5
nonverbal_expression[vn],1260
hash,3
mull,8
rygel,3
empower,6
ingratiate,6
misread,4
orphan[vn],61
groom[vn],4
infringe,1
heartbroken,1
specialize,6
computerise,1
knead[vn],110
investigate[vn],1965
murder[vn],500
transit,1
vir,1
glitch,1
reassociate,1
re-stimulate,1
helmsman,1
emoji,1
convert[vn],1549
being_dressed[vn],3
indispose,4
piggyback,2
automate,15
reattach,8
flaw,10
cannibalise,1
dematerialize,24
caring[vn],640
flag,1
amputate,4
doom,44
glad,1
aglow,3
byleth,1
transcribe[vn],169
unfairness,1
trevean,2
connive,1
scam,4
cowl,1
slide[vn],85
share,417
retest,2
tape[vn],1382
bogg,1
sharp,1
teleport,75
interbreed,1
spatial_configuration[vn],1044
stymie,5
woodsh,1
mould,2
transmigrate,1
emulate,8
body_motion[vn],2
act[vn],8005
transmat,8
aspire,4
catalog,2
plane,1
off-load,1
blood,1
initiate_communication[vn],670
capitalize,1
declaim,1
recloak,2
subordinate[vn],286
resemble,43
convuls,11
mobilise,4
ricochet,8
hit[vn],821
comatose,1
pleasure,1
serenade,4
re-materialise,1
radioe,4
preempt,2
strip-search,1
reconnect,12
prevaricate,1
turbocharge,2
picard,1
co-ordinate,6
intend[vn],778
bypass,41
scop,1
reseal,5
leijten,1
re-raise,1
outmaneuver,7
consign,4
imperil,2
re-dock,1
misuse,3
troubleshoot,1
intervene,110
rummage[vn],2188
mine[vn],37
gender,1
limit[vn],101
re-wire,1
forthright,2
malfunction,56
hare,2
benefit[vn],23
quantum,1
escape[vn],14655
orient,2
zip-tie,2
perry,1
exchange[vn],1053
conjecture[vn],2123
equate,4
safety,1
vitiate,2
avenge,23
animal_sounds[vn],1107
outrun,20
tell[vn],3784
calibratable_cos[vn],1885
reconfigure,26
resettle,7
equip[vn],313
kung,1
undergo,124
inquire[vn],2545
major,1
startdure,1
sinclair,1
purport,2
split[vn],727
blank,2
bland,1
birthe,4
de-pressurise,1
recategorise,1
spock,6
deprocess,2
begrudge,1
cross-link,1
subsidise,1
bumble,5
segue,3
bulge[vn],8
needle,4
reawaken,10
brainwash,22
woolsey,1
greyfarn,1
bring[vn],2345
re-occupy,1
shake[vn],837
de-phase,1
deputise,1
encounter[vn],556
traumatise,1
sedate,37
re-learn,2
stargaze,1
nacelle,1
chase[vn],951
wilfr,3
earn[vn],150
kree,1
